"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"1564229_at",-0.111495161666295,2.34101005647107,-3.63514629667509,0.000410297761075891,0.00223971945755035,-0.915608674924257
"218526_s_at",-0.946009476086031,6.12223638164463,-3.63495354728327,0.000410573982479005,0.00224100354318055,-0.916241254700299
"208533_at",-0.0744539128529444,2.32639127359504,-3.63411895126374,0.000411772038995183,0.00224731844999617,-0.918979986241895
"242960_at",-0.587291535188386,4.95750561497521,-3.63368160097551,0.000412401171520629,0.00225052740322292,-0.920414952629387
"236626_at",0.689828111928706,4.27377086243802,3.63328213691362,0.000412976598532567,0.00225344266714252,-0.921725491744183
"238357_at",-0.11622732095363,2.33170811295041,-3.63321175773138,0.000413078058208577,0.00225377136339227,-0.921956375834437
"237104_at",0.965582444115352,5.10025460772727,3.63287020514102,0.000413570780362449,0.0022562345256752,-0.923076813400503
"234701_at",0.672515838269756,5.81551195245455,3.63277856586207,0.000413703073282595,0.00225673107170766,-0.923377414807541
"208574_at",-0.0796812120554611,2.3283847918595,-3.63265796070434,0.000413877243111172,0.0022574559324724,-0.923773022810129
"201544_x_at",0.581461276923575,8.58699551971901,3.63262779159435,0.000413920822144029,0.00225746842401245,-0.923871981621176
"234913_at",-0.0355565953275194,2.32038415991736,-3.63256568990208,0.000414010541190133,0.00225773252938066,-0.924075681602267
"230563_at",1.4670471416442,5.67908401442149,3.63247937612113,0.00041413527026752,0.00225818748398092,-0.924358795110168
"210019_at",-0.110427961671381,2.34347630604132,-3.63187977435722,0.000415002715458331,0.00226269180970126,-0.926325370119708
"218224_at",-0.88690321784453,8.41066575778512,-3.63143706371104,0.000415644288192812,0.00226596385052767,-0.927777206502246
"219526_at",0.537217602218287,5.96313422266116,3.6312142711277,0.000415967512063351,0.0022674998725886,-0.928507784468411
"243042_at",-0.326816295476269,2.45830565932231,-3.631121537422,0.000416102118660962,0.00226800751049627,-0.928811864809981
"235166_at",-0.191247946993235,2.38171710892562,-3.63105773095462,0.000416194760160081,0.00226828633490355,-0.929021087091177
"204779_s_at",-1.43597413838411,5.55170749975207,-3.63098058579901,0.000416306794331448,0.00226867078441861,-0.929274043181829
"201124_at",-1.00661835279359,4.88915332495868,-3.6309181404977,0.000416397501499601,0.00226893894702917,-0.929478795845806
"227509_x_at",0.437641385787875,3.31712376004959,3.63065753389889,0.000416776256763679,0.00227077646622363,-0.930333271571857
"1567244_at",-0.0996478110707062,2.33224065579339,-3.63061803855509,0.00041683368614303,0.00227086307192808,-0.930462764438386
"222451_s_at",1.07329697182632,5.97902557692562,3.63056653729809,0.000416908584317776,0.00227104481892741,-0.930631619240488
"204404_at",1.36688062317926,5.49740769006612,3.63000431178719,0.000417727055899035,0.00227523660726418,-0.932474837366873
"1559470_at",-0.125384803072995,2.34072729793388,-3.62998079614731,0.000417761322365342,0.00227523660726418,-0.932551926812274
"210024_s_at",-1.39536607723423,7.46287350281818,-3.62979209871458,0.00041803638430617,0.0022765078995956,-0.933170504062285
"207659_s_at",-0.208671971590502,2.35839321084298,-3.62930563100229,0.000418746292342748,0.002280146751702,-0.934765096198267
"232290_at",1.12493096857237,4.49362725819835,3.62915386845299,0.000418967994380659,0.00228112677681364,-0.935262523504322
"227050_at",-0.117032860440046,2.34257388872727,-3.62898501316708,0.0004192147967457,0.00228224325520971,-0.935815955548481
"240192_at",1.68397142992984,3.85775869123141,3.62873919156928,0.000419574340396248,0.00228397322393119,-0.936621611835475
"209891_at",0.844634121006768,3.61162996787603,3.62843275159456,0.000420022953989703,0.00228618765648452,-0.93762587771081
"205546_s_at",0.707766287337607,7.79055946856198,3.62825487211739,0.000420283569102427,0.0022873784730913,-0.938208793624204
"212748_at",0.661789863337626,5.91528146714876,3.62762711210447,0.000421204536443447,0.00229216263860311,-0.940265797378244
"203117_s_at",0.88296754640832,6.54368310052893,3.62645966783703,0.000422922333798187,0.00230128170784394,-0.944090445523512
"213743_at",0.715132651920761,7.48876367953719,3.62538710691974,0.000424506354114639,0.00230967110271847,-0.947603378119303
"238115_at",-0.153162769141988,2.35831619690083,-3.62523772788374,0.00042472741022895,0.00231064389594705,-0.948092569560293
"1558854_a_at",0.939418912146463,4.3844753667686,3.62511350075794,0.000424911328580701,0.00231141447519151,-0.948499380384437
"212970_at",-0.990137973018165,7.27768046265289,-3.62497832021614,0.00042511154901514,0.00231220745558831,-0.948942048040909
"212245_at",-0.652663169050982,8.50289007789256,-3.62495797980202,0.000425141683603645,0.00231220745558831,-0.949008654436544
"1555497_a_at",-0.831831051647063,2.69618860443802,-3.624914228746,0.000425206508206692,0.00231233000161139,-0.949151919931595
"204558_at",0.783268812004501,3.64632578033058,3.62466045447809,0.000425582702121995,0.00231414562292592,-0.94998289187932
"209299_x_at",0.530979911916255,5.50610153777686,3.62388732560287,0.000426730725558493,0.00232015736077075,-0.952514178715858
"225015_s_at",-0.295215619822997,3.80031960315702,-3.62382474777435,0.000426823775689443,0.00232043252817145,-0.952719044682758
"239124_at",0.403721148187764,3.7135476473719,3.62289268364339,0.000428211981345792,0.00232774806920672,-0.955770080759393
"212969_x_at",-0.557229233009651,4.5331882936281,-3.62260596579475,0.000428639873330768,0.00232984243705734,-0.956708501757391
"228734_at",-0.777719022035106,4.37207948566942,-3.62224444244098,0.000429179979699221,0.00233238542522084,-0.957891674597819
"204365_s_at",1.56778570948356,5.01165993910744,3.62223570209457,0.000429193045507945,0.00233238542522084,-0.957920278328791
"227741_at",-1.09386364001137,6.42852524790083,-3.62210795304601,0.000429384058502478,0.00233319155223842,-0.958338344621299
"223658_at",1.00461265900732,4.51924182882645,3.62201496831385,0.000429523141709409,0.00233371537046228,-0.958642635204984
"244481_at",-0.363372462600133,2.65475092356198,-3.62184463561859,0.000429778029673291,0.00233486822062671,-0.959200029128578
